FeatureClass,FeatureCode,ShortDescription,LongDescription
A,ADM1,First-Order Administrative Division,"A primary administrative division of a country, such as a state in the United States"
A,ADM1H,Historical First-Order Administrative Division,A former first-order administrative division
A,ADM2,Second-Order Administrative Division,A subdivision of a first-order administrative division
A,ADM2H,Historical Second-Order Administrative Division,A former second-order administrative division
A,ADM3,Third-Order Administrative Division,A subdivision of a second-order administrative division
A,ADM3H,Historical Third-Order Administrative Division,A former third-order administrative division
A,ADM4,Fourth-Order Administrative Division,A subdivision of a third-order administrative division
A,ADM4H,Historical Fourth-Order Administrative Division,A former fourth-order administrative division
A,ADM5,Fifth-Order Administrative Division,A subdivision of a fourth-order administrative division
A,ADMD,Administrative Division,"An administrative division of a country, undifferentiated as to administrative level"
A,ADMDH,Historical Administrative Division,"A former administrative division of a political entity, undifferentiated as to administrative level"
A,LTER,Leased Area,"A tract of land leased to another country, usually for military installations"
A,PCL,Political Entity,
A,PCLD,Dependent Political Entity,
A,PCLF,Freely Associated State,
A,PCLH,Historical Political Entity,A former political entity
A,PCLI,Independent Political Entity,
A,PCLIX,Section of Independent Political Entity,
A,PCLS,Semi-Independent Political Entity,
A,PRSH,Parish,An ecclesiastical district
A,TERR,Territory,
A,ZN,Zone,
A,ZNB,Buffer Zone,A zone recognized as a buffer between two nations in which military presence is minimal or absent
H,AIRS,Seaplane Landing Area,A place on a waterbody where floatplanes land and take off
H,ANCH,Anchorage,An area where vessels may anchor
H,BAY,Bay,"A coastal indentation between two capes or headlands, larger than a cove but smaller than a gulf"
H,BAYS,Bays,"Coastal indentations between two capes or headlands, larger than a cove but smaller than a gulf"
H,BGHT,Bight(s),An open body of water forming a slight recession in a coastline
H,BNK,Bank(s),"An elevation, typically located on a shelf, over which the depth of water is relatively shallow but sufficient for most surface navigation"
H,BNKR,Stream Bank,A sloping margin of a stream channel which normally confines the stream to its channel on land
H,BNKX,Section of Bank,
H,BOG,Bog(s),"A wetland characterized by peat forming sphagnum moss, sedge, and other acid-water plants"
H,CAPG,Icecap,A dome-shaped mass of glacial ice covering an area of mountain summits or other high lands; smaller than an ice sheet
H,CHN,Channel,"The deepest part of a stream, bay, lagoon or strait, through which the main current flows"
H,CHNL,Lake Channel(s),"That part of a lake having water deep enough for navigation between islands, shoals, etc."
H,CHNM,Marine Channel,That part of a body of water deep enough for navigation through an area otherwise not suitable
H,CHNN,Navigation Channel,A buoyed channel of sufficient depth for the safe navigation of vessels
H,CNFL,Confluence,A place where two or more streams or intermittent streams flow together
H,CNL,Canal,An artificial watercourse
H,CNLA,Aqueduct,A conduit used to carry water
H,CNLB,Canal Bend,A conspicuously curved or bent section of a canal
H,CNLD,Drainage Canal,An artificial waterway carrying water away from a wetland or from drainage ditches
H,CNLI,Irrigation Canal,A canal which serves as a main conduit for irrigation water
H,CNLN,Navigation Canal(s),A watercourse constructed for navigation of vessels
H,CNLQ,Abandoned Canal,
H,CNLSB,Underground Irrigation Canal(s),A gently inclined underground tunnel bringing water for irrigation from aquifers
H,CNLX,Section of Canal,
H,COVE,Cove(s),"A small coastal indentation, smaller than a bay"
H,CRKT,Tidal Creek(s),A meandering channel in a coastal wetland subject to bi-directional tidal currents
H,CRNT,Current,A horizontal flow of water in a given direction with uniform velocity
H,CUTF,Cutoff,A channel formed as a result of a stream cutting through a meander neck
H,DCK,Dock(s),"A waterway between two piers, or cut into the land for the berthing of ships"
H,DCKB,Docking Basin,A part of a harbour where ships dock
H,DOMG,Icecap Dome,A comparatively elevated area on an icecap
H,DPRG,Icecap Depression,A comparatively depressed area on an icecap
H,DTCH,Ditch,A small artificial watercourse dug for draining or irrigating the land
H,DTCHD,Drainage Ditch,A ditch which serves to drain the land
H,DTCHI,Irrigation Ditch,A ditch which serves to distribute irrigation water
H,DTCHM,Ditch Mouth(s),"An area where a drainage ditch enters a lagoon, lake or bay"
H,ESTY,Estuary,A funnel-shaped stream mouth or embayment where fresh water mixes with sea water under tidal influences
H,FISH,Fishing Area,"A fishing ground, bank or area where fish are caught"
H,FJD,Fjord,"A long, narrow, steep-walled, deep-water arm of the sea at high latitudes, usually along mountainous coasts"
H,FJDS,Fjords,"Long, narrow, steep-walled, deep-water arms of the sea at high latitudes, usually along mountainous coasts"
H,FLLS,Waterfall(s),A perpendicular or very steep descent of the water of a stream
H,FLLSX,Section of Waterfall(s),
H,FLTM,Mud Flat(s),"A relatively level area of mud either between high and low tide lines, or subject to flooding"
H,FLTT,Tidal Flat(s),A large flat area of mud or sand attached to the shore and alternately covered and uncovered by the tide
H,GLCR,Glacier(s),"A mass of ice, usually at high latitudes or high elevations with sufficient thickness to flow away from the source area in lobes, tongues, or masses"
H,GULF,Gulf,"A large recess in the coastline, larger than a bay"
H,GYSR,Geyser,A type of hot spring with intermittent eruptions of jets of hot water and steam
H,HBR,Harbour(s),A haven or space of deep water so sheltered by the adjacent land as to afford a safe anchorage for ships
H,HBRX,Section of Harbour,
H,INLT,Inlet,"A narrow waterway extending into the land, or connecting a bay or lagoon with a larger body of water"
H,INLTQ,Former Inlet,"An inlet which has been filled in, or blocked by deposits"
H,LBED,Lake Bed(s),A dried up or drained area of a former lake
H,LGN,Lagoon,"A shallow coastal waterbody, completely or partly separated from a larger body of water by a barrier island, coral reef or other depositional feature"
H,LGNS,Lagoons,"Shallow coastal waterbodies, completely or partly separated from a larger body of water by a barrier island, coral reef or other depositional feature"
H,LGNX,Section of Lagoon,
H,LK,Lake,A large inland body of standing water
H,LKC,Crater Lake,A lake in a crater or caldera
H,LKI,Intermittent Lake,
H,LKN,Salt Lake,An inland body of salt water with no outlet
H,LKNI,Intermittent Salt Lake,
H,LKO,Oxbow Lake,A crescent-shaped lake commonly found adjacent to meandering streams
H,LKOI,Intermittent Oxbow Lake,
H,LKS,Lakes,Large inland bodies of standing water
H,LKSB,Underground Lake,A standing body of water in a cave
H,LKSC,Crater Lakes,Lakes in a crater or caldera
H,LKSI,Intermittent Lakes,
H,LKSN,Salt Lakes,Inland bodies of salt water with no outlet
H,LKSNI,Intermittent Salt Lakes,
H,LKX,Section of Lake,
H,MFGN,Salt Evaporation Ponds,Diked salt ponds used in the production of solar evaporated salt
H,MGV,Mangrove Swamp,A tropical tidal mud flat characterized by mangrove vegetation
H,MOOR,Moor(s),An area of open ground overlaid with wet peaty soils
H,MRSH,Marsh(es),A wetland dominated by grass-like vegetation
H,MRSHN,Salt Marsh,"A flat area, subject to periodic salt water inundation, dominated by grassy salt-tolerant plants"
H,NRWS,Narrows,"A navigable narrow part of a bay, strait, river, etc."
H,OCN,Ocean,One of the major divisions of the vast expanse of salt water covering part of the earth
H,OVF,Overfalls,An area of breaking waves caused by the meeting of currents or by waves moving against the current
H,PND,Pond,A small standing waterbody
H,PNDI,Intermittent Pond,
H,PNDN,Salt Pond,"A small standing body of salt water often in a marsh or swamp, usually along a seacoast"
H,PNDNI,Intermittent Salt Pond(s),
H,PNDS,Ponds,Small standing waterbodies
H,PNDSF,Fishponds,Ponds or enclosures in which fish are kept or raised
H,PNDSI,Intermittent Ponds,
H,PNDSN,Salt Ponds,"Small standing bodies of salt water often in a marsh or swamp, usually along a seacoast"
H,POOL,Pool(s),"A small and comparatively still, deep part of a larger body of water such as a stream or harbour; or a small body of standing water"
H,POOLI,Intermittent Pool,
H,RCH,Reach,A straight section of a navigable stream or channel between two bends
H,RDGG,Icecap Ridge,A linear elevation on an icecap
H,RDST,Roadstead,An open anchorage affording less protection than a harbour
H,RF,Reef(s),A surface-navigation hazard composed of consolidated material
H,RFC,Coral Reef(s),A surface-navigation hazard composed of coral
H,RFX,Section of Reef,
H,RPDS,Rapids,"A turbulent section of a stream associated with a steep, irregular stream bed"
H,RSV,Reservoir(s),An artificial pond or lake
H,RSVI,Intermittent Reservoir,
H,RSVT,Water Tank,"A contained pool or tank of water at, below or above ground level"
H,RVN,Ravine(s),"A small, narrow, deep, steep-sided stream channel, smaller than a gorge"
H,SBKH,Sabkha(s),A salt flat or salt encrusted plain subject to periodic inundation from flooding or high tides
H,SD,Sound,A long arm of the sea forming a channel between the mainland and an island or islands; or connecting two larger bodies of water
H,SEA,Sea,A large body of salt water more or less confined by continuous land or chains of islands forming a subdivision of an ocean
H,SHOL,Shoal(s),A surface-navigation hazard composed of unconsolidated material
H,SILL,Sill,"The low part of an underwater gap or saddle separating basins, including a similar feature at the mouth of a fjord"
H,SPNG,Spring(s),A place where ground water flows naturally out of the ground
H,SPNS,Sulphur Spring(s),A place where sulphur ground water flows naturally out of the ground
H,SPNT,Hot Spring(s),A place where hot ground water flows naturally out of the ground
H,STM,Stream,A body of running water moving to a lower level in a channel on land
H,STMA,Anabranch,A diverging branch flowing out of a main stream and rejoining it downstream
H,STMB,Stream Bend,A conspicuously curved or bent segment of a stream
H,STMC,Canalized Stream,"A stream that has been substantially ditched, diked, or straightened"
H,STMD,Distributary(-ies),"A branch which flows away from the main stream as in a delta or irrigation canal"
H,STMH,Headwaters,"The source and upper part of a stream, including the upper drainage basin"
H,STMI,Intermittent Stream,
H,STMIX,Section of Intermittent Stream,
H,STMM,Stream Mouth(s),"A place where a stream discharges into a lagoon, lake or the sea"
H,STMQ,Abandoned Watercourse,"A former stream or distributary no longer carrying flowing water, but still evident due to lakes, wetland, topographic or vegetation patterns"
H,STMS,Streams,Bodies of running water moving to a lower level in a channel on land
H,STMSB,Lost River,"A surface stream that disappears into an underground channel or dries up in an arid area"
H,STMX,Section of Stream,
H,STRT,Strait,"A relatively narrow waterway, usually narrower and less extensive than a sound, connecting two larger bodies of water"
H,SWMP,Swamp,A wetland dominated by tree vegetation
H,SYSI,Irrigation System,"A network of ditches and one or more of the following elements: water supply, reservoir, canal, pump, well, drain etc."
H,TNLC,Canal Tunnel,A tunnel through which a canal passes
H,WAD,Wadi,"A valley or ravine bounded by relatively steep banks which, in the rainy season, becomes a watercourse.  Found primarily in North Africa and the Middle East"
H,WADB,Wadi Bend,A conspicuously curved or bent segment of a wadi
H,WADJ,Wadi Junction,A place where two or more wadies join
H,WADM,Wadi Mouth,"The lower terminus of a wadi where it widens into an adjoining floodplain, depression or waterbody"
H,WADS,Wadies,"Valleys or ravines, bounded by relatively steep banks which, in the rainy season, become watercourses.  Found primarily in North Africa and the Middle East"
H,WADX,Section of Wadi,
H,WHRL,Whirlpool,"A turbulent, rotating movement of water in a stream"
H,WLL,Well,"A cylindrical hole, pit or tunnel drilled or dug down to a depth from which water, oil or gas can be pumped or brought to the surface"
H,WLLQ,Abandoned Well,
H,WLLS,Wells,"Cylindrical holes, pits or tunnels drilled or dug down to a depth from which water, oil or gas can be pumped or brought to the surface"
H,WTLD,Wetland,"An area subject to inundation, usually characterized by bog, marsh or swamp vegetation"
H,WTLDI,Intermittent Wetland,
H,WTRC,Watercourse,"A natural, well-defined channel produced by flowing water or an artificial channel designed to carry flowing water"
H,WTRH,Waterhole(s),"A natural hole, hollow or small depression that contains water.  Used by man and animals, especially in arid areas"
L,AGRC,Agricultural Colony,A tract of land set aside for agricultural settlement
L,AMUS,Amusement Park,"Theme or adventure parks offering entertainment similar to funfairs, but with a fixed location"
L,AREA,Area,A tract of land without homogeneous character or boundaries
L,BSND,Drainage Basin,An area drained by a stream
L,BSNP,Petroleum Basin,An area underlain by an oil-rich structural basin
L,BTL,Battlefield,A site of a land battle of historical importance
L,CLG,Clearing,An area in a forest with trees removed
L,CMN,Common,A park or pasture for community use
L,CNS,Concession Area,A lease of land by a government for economic development.  E.G. Mining or Forestry
L,COLF,Coalfield,A region in which coal deposits of possible economic value occur
L,CONT,Continent,"Continent: Europe, Africa, Asia, North America, South America, Oceania, Antarctica"
L,CST,Coast,A zone of variable width straddling the shoreline
L,CTRB,Business Centre,A place where a number of businesses are located
L,DEVH,Housing Development,A tract of land on which many houses of similar design are built according to a development plan
L,FLD,Field(s),An open as opposed to wooded area
L,FLDI,Irrigated Field(s),A tract of level or terraced land which is irrigated
L,GASF,Gasfield,An area containing a subterranean store of natural gas of economic value
L,GRAZ,Grazing Area,An area of grasses and shrubs used for grazing
L,GVL,Gravel Area,An area covered with gravel
L,INDS,Industrial Area,An area characterized by industrial activity
L,LAND,Arctic Land,A tract of land in the Arctic
L,LCTY,Locality,A minor area or place of unspecified or mixed character and indefinite boundaries
L,MILB,Military Base,"A place used by an army or other armed service for storing arms and supplies, and for accommodating and training troops, or a base from which operations can be initiated"
L,MNA,Mining Area,An area of mine sites where minerals and ores are extracted
L,MVA,Manoeuvre Area,A tract of land where military field exercises are carried out
L,NVB,Naval Base,"An area used to store supplies, provide barracks for troops and naval personnel.  A port for naval vessels and from which operations are initiated"
L,OAS,Oasis(-es),An area in a desert made productive by the availability of water
L,OILF,Oilfield,An area containing a subterranean store of petroleum of economic value
L,PEAT,Peat Cutting Area,An area where peat is harvested
L,PRK,Park,"An area, often of forested land, maintained as a place of beauty or for recreation"
L,PRT,Port,"A place provided with terminal and transfer facilities for loading and discharging waterborne cargo or passengers, usually located in a harbour"
L,QCKS,Quicksand,"An area where loose sand with water moving through it may become unstable when heavy objects are placed at the surface, causing them to sink"
L,RES,Reserve,A tract of public land reserved for future use or restricted as to use
L,RESA,Agricultural Reserve,A tract of land reserved for agricultural reclamation and/or development
L,RESF,Forest Reserve,A forested area set aside for preservation or controlled use
L,RESH,Hunting Reserve,A tract of land used primarily for hunting
L,RESN,Nature Reserve,An area reserved for the maintenance of a natural habitat
L,RESP,Palm Tree Reserve,An area of palm trees where use is controlled
L,RESV,Reservation,"A tract of land set aside for aboriginal, tribal or native populations"
L,RESW,Wildlife Reserve,A tract of public land reserved for the preservation of wildlife
L,RGN,Region,An area distinguished by one or more observable physical or cultural characteristics
L,RGNE,Economic Region,A region of a country established for economic development or for statistical purposes
L,RGNH,Historical Region,A former historic area distinguished by one or more observable physical or cultural characteristics
L,RGNL,Lake Region,A tract of land distinguished by numerous lakes
L,RNGA,Artillery Range,A tract of land used for artillery firing practice
L,SALT,Salt Area,A shallow basin or flat where salt accumulates after periodic inundation
L,SNOW,Snowfield,An area of permanent snow and ice forming the accumulation area of a glacier
L,TRB,Tribal Area,A tract of land used by nomadic or other tribes
P,PPL,Populated Place,"A city, town, village or other agglomeration of buildings where people live and work"
P,PPLA,Seat of a First-Order Administrative Division,Seat of a first-order administrative division (PPLC takes precedence over PPLA)
P,PPLA2,Seat of a Second-Order Administrative Division,
P,PPLA3,Seat of a Third-Order Administrative Division,
P,PPLA4,Seat of a Fourth-Order Administrative Division,
P,PPLC,Capital of a Political Entity,
P,PPLCH,Historical Capital of a Political Entity,A former capital of a political entity
P,PPLF,Farm Village,A populated place where the population is largely engaged in agricultural activities
P,PPLG,Seat of Government of a Political Entity,
P,PPLH,Historical Populated Place,A populated place that no longer exists
P,PPLL,Populated Locality,An area similar to a locality but with a small group of dwellings or other buildings
P,PPLQ,Abandoned Populated Place,
P,PPLR,Religious Populated Place,A populated place whose population is largely engaged in religious occupations
P,PPLS,Populated Places,"Cities, towns, villages or other agglomerations of buildings where people live and work"
P,PPLW,Destroyed Populated Place,"A village, town or city destroyed by a natural disaster or by war"
P,PPLX,Section of Populated Place,
P,STLMT,Israeli Settlement,
R,CSWY,Causeway,A raised roadway across wet ground or shallow water
R,OILP,Oil Pipeline,A pipeline used for transporting oil
R,PRMN,Promenade,"A place for public walking, usually along a beach front"
R,PTGE,Portage,"A place where boats or goods, etc. are carried overland between navigable waters"
R,RD,Road,"An open way with improved surface for transportation of animals, people and vehicles"
R,RDA,Ancient Road,The remains of a road used by ancient cultures
R,RDB,Road Bend,A conspicuously curved or bent section of a road
R,RDCUT,Road Cut,An excavation cut through a hill or ridge for a road
R,RDJCT,Road Junction,A place where two or more roads join
R,RJCT,Railroad Junction,A place where two or more railroad tracks join
R,RR,Railroad,A permanent twin steel-rail track on which freight and passenger cars move long distances
R,RRQ,Abandoned Railroad,
R,RTE,Caravan Route,The route taken by caravans
R,RYD,Railroad Yard,"A system of tracks used for the making up of trains, and switching and storing freight cars"
R,ST,Street,A paved urban thoroughfare
R,STKR,Stock Route,A route taken by livestock herds
R,TNL,Tunnel,A subterranean passageway for transportation
R,TNLN,Natural Tunnel,A cave that is open at both ends
R,TNLRD,Road Tunnel,A tunnel through which a road passes
R,TNLRR,Railroad Tunnel,A tunnel through which a railroad passes
R,TNLS,Tunnels,Subterranean passageways for transportation
R,TRL,Trail,"A path, track or route used by pedestrians, animals or off-road vehicles"
S,ADMF,Administrative Facility,A government building
S,AGRF,Agricultural Facility,A building and/or tract of land used for improving agriculture
S,AIRB,Airbase,"An area used to store supplies, provide barracks for air force personnel, hangars and runways for aircraft, and from which operations are initiated"
S,AIRF,Airfield,A place on land where aircraft land and take off; no facilities provided for the commercial handling of passengers and cargo
S,AIRH,Heliport,A place where helicopters land and take off
S,AIRP,Airport,"A place where aircraft regularly land and take off, with runways, navigational aids, and major facilities for the commercial handling of passengers and cargo"
S,AIRQ,Abandoned Airfield,
S,AMTH,Amphitheatre,An oval or circular structure with rising tiers of seats about a stage or open space
S,ANS,Ancient Site,"A place where archaeological remains, old structures or cultural artefacts are located"
S,AQC,Aquaculture Facility,"Facility or area for the cultivation of aquatic animals and plants, especially fish, shellfish and seaweed, in natural or controlled marine or freshwater environments; underwater agriculture"
S,ARCH,Arch,A natural or man-made structure in the form of an arch
S,ASTR,Astronomical Station,A point on the earth whose position has been determined by observations of celestial bodies
S,ASYL,Asylum,A facility where the insane are cared for and protected
S,ATHF,Athletic Field,"A tract of land used for playing team sports, and athletic track and field events"
S,ATM,Automatic Teller Machine,"An unattended electronic machine in a public place, connected to a data system and related equipment and activated by a bank customer to obtain cash withdrawals and other banking services."
S,BANK,Bank,"A business establishment in which money is kept for saving or commercial purposes or is invested, supplied for loans or exchanged."
S,BCN,Beacon,A fixed artificial navigation mark
S,BDG,Bridge,"A structure erected across an obstacle such as a river, road, etc. in order to carry roads, railroads and pedestrians across"
S,BDGQ,Ruined Bridge,A destroyed or decayed bridge which is no longer functional
S,BLDG,Building(s),"A structure built for permanent use, as a house, factory, etc."
S,BLDO,Office Building,Commercial building where business and/or services are conducted
S,BP,Boundary Marker,A fixture marking a point along a boundary
S,BRKS,Barracks,A building for lodging military personnel
S,BRKW,Breakwater,A structure erected to break the force of waves at the entrance to a harbour or port
S,BSTN,Baling Station,A facility for baling agricultural products
S,BTYD,Boatyard,"A waterside facility for servicing, repairing and building small vessels"
S,BUR,Burial Cave(s),A cave used for human burials
S,BUSTN,Bus Station,"A facility comprising ticket office, platforms, etc. For loading and unloading passengers"
S,BUSTP,Bus Stop,A place lacking station facilities
S,CARN,Cairn,A heap of stones erected as a landmark or for other purposes
S,CAVE,Cave(s),"An underground passageway, chamber or cavity on the side of a cliff"
S,CH,Church,A building for public Christian worship
S,CMP,Camp(s),"A site occupied by tents, huts or other shelters for temporary use"
S,CMPL,Logging Camp,A camp used by loggers
S,CMPLA,Labour Camp,A camp used by migrant or temporary labourers
S,CMPMN,Mining Camp,A camp used by miners
S,CMPO,Oil Camp,A camp used by oilfield workers
S,CMPQ,Abandoned Camp,
S,CMPRF,Refugee Camp,A camp used by refugees
S,CMTY,Cemetery,A burial place or ground
S,COMC,Communication Centre,"A facility, including buildings, antennae, towers and electronic equipment for receiving and transmitting information"
S,CRRL,Corral(s),A pen or enclosure for confining or capturing animals
S,CSNO,Casino,A building used for gambling
S,CSTL,Castle,A large fortified building or set of buildings
S,CSTM,Customs House,"A building in a port where customs and duties are paid, and where vessels are entered and cleared"
S,CTHSE,Courthouse,A building in which courts of law are held
S,CTRA,Atomic Centre,A facility where atomic research is carried out
S,CTRCM,Community Centre,A facility for community recreation and other activities
S,CTRF,Facility Centre,A place where more than one facility is situated
S,CTRM,Medical Centre,"A complex of health care buildings including two or more of the following: hospital, medical school, clinic, pharmacy, doctor's offices, etc."
S,CTRR,Religious Centre,"A facility where more than one religious activity is carried out.  E.G. Retreat, school, monastery, worship"
S,CTRS,Space Centre,"A facility for launching, tracking or controlling satellites and space vehicles"
S,CVNT,Convent,A building where a community of Nuns lives in seclusion
S,DAM,Dam,A barrier constructed across a stream to impound water
S,DAMQ,Ruined Dam,A destroyed or decayed dam which is no longer functional
S,DAMSB,Sub-Surface Dam,A dam put down to bedrock in a sand river
S,DARY,Dairy,"A facility for the processing, sale and distribution of milk or milk products"
S,DCKD,Dry Dock,"A dock providing support for a vessel, and a means of removing the water in order to expose the vesselâ€™s hull"
S,DCKY,Dockyard,"A facility for servicing, building or repairing ships"
S,DIKE,Dike,An earth or stone embankment usually constructed for flood or stream control
S,DIP,Diplomatic Facility,"Office, residence or facility of a foreign government, which may include an Embassy, Consulate, Chancery, Office of Charge d'Affaires or other diplomatic, economic, military or cultural mission"
S,DPOF,Fuel Depot,An area where fuel is stored
S,EST,Estate(s),A large commercialized agricultural landholding with associated buildings and other facilities
S,ESTO,Oil Palm Plantation,An estate specializing in the cultivation of oil palm trees
S,ESTR,Rubber Plantation,An estate which specializes in growing and tapping rubber trees
S,ESTSG,Sugar Plantation,An estate that specializes in growing sugar cane
S,ESTT,Tea Plantation,An estate which specializes in growing tea bushes
S,ESTX,Section of Estate,
S,FCL,Facility,"A building or buildings housing a centre, institute, foundation, hospital, prison, mission or courthouse, etc."
S,FNDY,Foundry,A building or works where metal casting is carried out
S,FRM,Farm,A tract of land with associated buildings devoted to agriculture
S,FRMQ,Abandoned Farm,
S,FRMS,Farms,Tracts of land with associated buildings devoted to agriculture
S,FRMT,Farmstead,The buildings and adjacent service areas of a farm
S,FT,Fort,A defensive structure or earthworks
S,FY,Ferry,A boat or other floating conveyance and terminal facilities regularly used to transport people and vehicles across a waterbody
S,GATE,Gate,A controlled access entrance or exit
S,GDN,Garden(s),An enclosure for displaying selected plant or animal life
S,GHAT,Ghat,"A set of steps leading to a river, which are of religious significance, and at their base is usually a platform for bathing"
S,GHSE,Guest House,A house used to provide lodging for paying guests
S,GOSP,Gas-Oil Separator Plant,A facility for separating gas from oil
S,GOVL,Local Government Office,"A facility housing local governmental offices, usually in a city, town or village hall"
S,GRVE,Grave,A burial site
S,HERM,Hermitage,"A secluded residence, usually for religious sects"
S,HLT,Halting Place,A place where caravans stop for rest
S,HMSD,Homestead,"A residence, owner's or manager's on a sheep or cattle station, woolshed, outcamp or aboriginal outstation.  Specific to Australia and New Zealand"
S,HSE,House(s),A building used as a human habitation
S,HSEC,Country House,"A large house, mansion or chateau on a large estate"
S,HSP,Hospital,"A building in which sick or injured people, especially those confined to bed, receive medical treatment"
S,HSPC,Clinic,A medical facility associated with a hospital for outpatients
S,HSPD,Dispensary,A building where medical or dental aid is dispensed
S,HSPL,Leprosarium,An asylum or hospital for lepers
S,HSTS,Historical Site,A place of historical importance
S,HTL,Hotel,A building providing lodging and/or meals for the public
S,HUT,Hut,A small primitive house
S,HUTS,Huts,Small primitive houses
S,INSM,Military Installation,A facility for use of and control by armed forces
S,ITTR,Research Institute,A facility where research is carried out
S,JTY,Jetty,A structure built out into the water at a river mouth or harbour entrance to regulate currents and silting
S,LDNG,Landing,"A place where boats receive or discharge passengers and freight, but lacking most port facilities"
